Incident Num,CAD Num,Inc Type Code,Inc Type Desc,Shift,Address,Apt,City,Zip,County,Station First Due,BC District,Fire District,Medic First Due,Pop Density,Response Type,911 Date,Notify Date,Arrival Date,Clear Date,Action Taken,Property Use,Property Loss,Property Value,Mutual Aid,Cause of Ignition,Fire Spread,Injury/Fatality,Geo Status,How Geocoded,Incident Date,Process Time,Unit Response Time,Total Response Time,Total Resource Time,Incident Category,Record ID,Inc Type Desc,X,Y
SM-2019-39671,2019-0048149,554,Assist invalid; lift assist without medical treatment,A,16707 E Crestline Lane,,CENTENNIAL,80015,Arapahoe,22,5,SOUTH METRO,42,URBAN,Emergent,12/1/2019 1:03,12/1/2019 1:04,12/1/2019 1:09,12/1/2019 1:14,Assist physically disabled,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/1/2019 1:03,0:52,5:15,6:07,10:57,SERVICE CALL,SM-224122,554 - Assist invalid; lift assist without medical treatment,-11665584.66,4810416.294
SM-2019-39678,2019-0048156,321,Emergency medical incident,A,8899 E Prentice Avenue,BLDG 11,GREENWOOD VILLAGE,80111.1,Arapahoe,31,5,SOUTH METRO,31,URBAN,Emergent,12/1/2019 3:55,12/1/2019 3:55,12/1/2019 4:03,12/1/2019 4:22,Provide advanced life support (ALS),Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/1/2019 3:55,0:09,7:32,7:41,27:10:00,"RESCUE, EMS",SM-224128,321 - Emergency medical incident,-11675856.11,4811018.917
SM-2019-39827,2019-0048334,321,Emergency medical incident,C,3379 Mill Vista Road,4313,UNINC DOUG,80125,Douglas,16,1,SOUTH METRO,16,URBAN,Emergent,12/2/2019 10:57,12/2/2019 10:58,12/2/2019 11:02,12/2/2019 11:27,Provide basic life support (BLS); Provide first aid &amp; check for injuries,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/2/2019 10:57,0:27,3:53,4:20,29:28:00,"RESCUE, EMS",SM-224278,321 - Emergency medical incident,-11692149.95,4802084.451
SM-2019-39834,2019-0048341,321,Emergency medical incident,C,8565 Poplar Way,,UNINC DOUG,80130,Douglas,33,3,SOUTH METRO,34,URBAN,Non-emergent,12/2/2019 11:46,12/2/2019 11:47,12/2/2019 11:52,12/2/2019 12:30,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/2/2019 11:46,0:53,5:17,6:10,43:57:00,"RESCUE, EMS",SM-224286,321 - Emergency medical incident,-11678283.99,4802610.041
SM-2019-39841,2019-0048351,321,Emergency medical incident,C,2460 E Quincy Avenue,COMPLEX,CHERRY HILLS VILLAGE,80113.1,Arapahoe,38,3,SOUTH METRO,37,SUBURBAN,"No response (walk-in, etc.)",12/2/2019 12:20,12/2/2019 12:20,12/2/2019 12:21,12/2/2019 13:20,Provide advanced life support (ALS); Transport person,Fire station,NaN,NaN,No aid given or received,,,,M,address_points_zip,12/2/2019 12:20,0:21,0:34,0:55,60:20:00,"RESCUE, EMS",SM-224293,321 - Emergency medical incident,-11683810.39,4813492.378
SM-2019-39852,2019-0048367,321,Emergency medical incident,C,194 I-25 SB,,LONE TREE,80124,Douglas,33,3,SOUTH METRO,32,URBAN,Emergent,12/2/2019 14:40,12/2/2019 14:41,12/2/2019 14:50,12/2/2019 15:08,Provide first aid &amp; check for injuries; Control traffic,Highway or divided highway,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/2/2019 14:40,0:25,8:55,9:20,27:06:00,"RESCUE, EMS",SM-224303,321 - Emergency medical incident,-11674112.85,4801332.21
SM-2019-39859,2019-0048375,321,Emergency medical incident,C,1435 E Tufts Avenue,,CHERRY HILLS VILLAGE,80113.1,Arapahoe,38,3,SOUTH METRO,37,SUBURBAN,Emergent,12/2/2019 15:56,12/2/2019 15:56,12/2/2019 16:01,12/2/2019 16:39,Transport person; Provide advanced life support (ALS),1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/2/2019 15:56,0:08,4:28,4:36,42:43:00,"RESCUE, EMS",SM-224313,321 - Emergency medical incident,-11685272.63,4812835.677
SM-2019-39866,2019-0048382,321,Emergency medical incident,C,7464 Tenby Court,,CASTLE PINES,80108,Douglas,36,1,SOUTH METRO,36,SUBURBAN,Non-emergent,12/2/2019 16:18,12/2/2019 16:19,12/2/2019 16:23,12/2/2019 16:56,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/2/2019 16:18,0:33,3:36,4:09,37:52:00,"RESCUE, EMS",SM-224315,321 - Emergency medical incident,-11676503.99,4789379.027
SM-2019-39884,2019-0048402,321,Emergency medical incident,C,93 Centennial Boulevard,220,UNINC DOUG,80129,Douglas,18,1,SOUTH METRO,18,URBAN,Non-emergent,12/2/2019 18:03,12/2/2019 18:04,12/2/2019 18:10,12/2/2019 18:45,Provide advanced life support (ALS); Transport person,"Hotel/motel, commercial",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/2/2019 18:03,0:46,6:50,7:36,41:52:00,"RESCUE, EMS",SM-224336,321 - Emergency medical incident,-11687638.17,4802402.112
SM-2019-39992,2019-0048530,323,Motor vehicle vs. pedestrian or bicycle accident,C,6767 S Clinton Street,--,GREENWOOD VILLAGE,80112.3,Arapahoe,35,5,SOUTH METRO,31,URBAN,Non-emergent,12/3/2019 15:57,12/3/2019 15:58,12/3/2019 16:07,12/3/2019 16:11,Provide first aid &amp; check for injuries; Investigate,Vehicle parking area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/3/2019 15:57,0:16,9:21,9:37,14:00,"RESCUE, EMS",SM-224447,323 - Motor vehicle vs. pedestrian or bicycle accident,-11675403.04,4806955.888
