Incident Num,CAD Num,Inc Type Code,Inc Type Desc,Shift,Address,Apt,City,Zip,County,Station First Due,BC District,Fire District,Medic First Due,Pop Density,Response Type,911 Date,Notify Date,Arrival Date,Clear Date,Action Taken,Property Use,Property Loss,Property Value,Mutual Aid,Cause of Ignition,Fire Spread,Injury/Fatality,Geo Status,How Geocoded,Incident Date,Process Time,Unit Response Time,Total Response Time,Total Resource Time,Incident Category,Record ID,Inc Type Desc,X,Y
SM-2019-14065,2019-0016828,631,Authorized controlled burning,B,6924 S Dahlia Street,,CENTENNIAL,80122,Arapahoe,14,3,SOUTH METRO,15,URBAN,Emergent,5/3/2019 5:07,5/3/2019 5:08,5/3/2019 5:13,5/3/2019 5:33,Investigate; Extinguish,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 5:07,0:38,5:22,6:00,25:58:00,GOOD INTENT CALL,SM-198608,631 - Authorized controlled burning,-11680726.34,4806821.541
SM-2019-14079,2019-0016848,462,Aircraft standby,B,7800 S Peoria Street,,UNINC ARAP,80112,Arapahoe,35,5,SOUTH METRO,31,URBAN,Emergent,5/3/2019 8:32,5/3/2019 8:33,5/3/2019 8:38,5/3/2019 8:43,Standby; Incident command,Aircraft runway,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 8:32,0:18,5:51,6:09,10:15,HAZARDOUS CONDITION,SM-198622,462 - Aircraft standby,-11671303.14,4804376.172
SM-2019-14087,2019-0016858,745,Unintentional - alarm system activation (no fire),B,5472 S Federal Circle,,LITTLETON,80123,Arapahoe,11,2,SOUTH METRO,11,URBAN,Emergent,5/3/2019 9:29,5/3/2019 9:30,5/3/2019 9:37,5/3/2019 9:39,Investigate; Restore fire alarm system,"Day care, in commercial property",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 9:29,0:44,7:21,8:05,9:26,"FALSE ALARM, FALSE CALL",SM-198629,745 - Unintentional - alarm system activation (no fire),-11691713.57,4810732.775
SM-2019-14094,2019-0016869,325,Vehicle accident with no injuries,B,W Ottawa Avenue & S Pierce Street,,UNINC JEFF,80128,Jefferson,13,1,SOUTH METRO,13,URBAN,Emergent,5/3/2019 10:43,5/3/2019 10:43,5/3/2019 10:47,5/3/2019 10:58,Investigate,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 10:43,0:17,4:24,4:41,14:51,"RESCUE, EMS",SM-198636,325 - Vehicle accident with no injuries,-11696639.46,4806848.988
SM-2019-14105,2019-0016881,321,Emergency medical incident,B,3237 Summer Wind Lane,1221,UNINC DOUG,80129,Douglas,16,1,SOUTH METRO,16,URBAN,Non-emergent,5/3/2019 12:10,5/3/2019 12:10,5/3/2019 12:16,5/3/2019 12:52,Provide advanced life support (ALS); Transport person,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 12:10,0:19,5:27,5:46,42:24:00,"RESCUE, EMS",SM-198647,321 - Emergency medical incident,-11691755.87,4802067.124
SM-2019-14112,2019-0016888,611,Dispatched & cancelled enroute,B,6165 S Ammons Way,103,UNINC JEFF,80123,Jefferson,13,1,SOUTH METRO,13,SUBURBAN,Non-emergent,5/3/2019 12:41,5/3/2019 12:42,5/3/2019 12:50,5/3/2019 13:22,Cancelled enroute,None,NaN,NaN,Automatic aid received from other agencies,,,,C,X-Y Coordinates,5/3/2019 12:41,0:46,8:33,9:19,41:13:00,GOOD INTENT CALL,SM-198654,611 - Dispatched & cancelled enroute,-11698450.63,4808640.429
SM-2019-18804,2019-0022536,321,Emergency medical incident,C,8565 Poplar Way,,UNINC DOUG,80130,Douglas,33,3,SOUTH METRO,34,URBAN,Non-emergent,6/12/2019 8:34,6/12/2019 8:35,6/12/2019 8:40,6/12/2019 9:24,Provide advanced life support (ALS); Transport person,Mental /development disability facility,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,6/12/2019 8:34,0:33,4:59,5:32,49:23:00,"RESCUE, EMS",SM-203331,321 - Emergency medical incident,-11678283.99,4802610.041
SM-2019-18829,2019-0022562,321,Emergency medical incident,C,12 Dunbarton Court,,UNINC DOUG,80130,Douglas,17,2,SOUTH METRO,17,URBAN,Emergent,6/12/2019 11:57,6/12/2019 11:57,6/12/2019 12:05,6/12/2019 12:18,Provide basic life support (BLS),1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,6/12/2019 11:57,0:21,7:41,8:02,20:36,"RESCUE, EMS",SM-203356,321 - Emergency medical incident,-11680100.72,4801587.763
SM-2019-18836,2019-0022569,321,Emergency medical incident,C,10001 S Oswego Street,,UNINC DOUG,80134,Douglas,44,4,SOUTH METRO,44,URBAN,Emergent,6/12/2019 13:03,6/12/2019 13:04,6/12/2019 13:08,6/12/2019 13:22,Provide advanced life support (ALS),"24-hour care Nursing homes, 4 or more persons",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,6/12/2019 13:03,0:32,3:43,4:15,18:25,"RESCUE, EMS",SM-203363,321 - Emergency medical incident,-11672166.98,4798442.17
SM-2019-18843,2019-0022577,321,Emergency medical incident,C,8459 Little Rock Way,102,UNINC DOUG,80126,Douglas,17,2,SOUTH METRO,17,URBAN,Emergent,6/12/2019 13:54,6/12/2019 13:54,6/12/2019 13:59,6/12/2019 14:22,Provide first aid &amp; check for injuries,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,6/12/2019 13:54,0:25,5:15,5:40,28:21:00,"RESCUE, EMS",SM-203370,321 - Emergency medical incident,-11682196.87,4802654.805
